slug,nameEn,nameVi,displayOrder,isActive
childrens-books,Children's Books,Sách Thiếu Nhi,1,true
other-languages,Other Languages,Các Ngôn Ngữ Khác,2,true
dictionaries-and-languages,Dictionaries & Languages,Từ Điển và Ngôn Ngữ,3,true
fiction,Fiction,Tiểu Thuyết,4,true
business-finance-and-management,Business Finance & Management,Kinh Doanh Tài Chính và Quản Lý,5,true
personal-development,Personal Development,Phát Triển Bản Thân,6,true
biography,Biography,Tiểu Sử,7,true
society-and-social-sciences,Society & Social Sciences,Xã Hội và Khoa Học Xã Hội,8,true
education-and-reference,Education & Reference,Giáo Dục và Tài Liệu Tham Khảo,9,true
graphic-novels-anime-and-manga,Graphic Novels Anime & Manga,Truyện Tranh Anime và Manga,10,true
crafts-and-hobbies,Crafts and Hobbies,Thủ Công và Sở Thích,11,true
mind-body-and-spirit,Mind Body & Spirit,Tâm Trí Cơ Thể và Tâm Linh,12,true
health,Health,Sức Khỏe,13,true
science-and-geography,Science & Geography,Khoa Học và Địa Lý,14,true
computing,Computing,Tin Học,15,true
art-and-photography,Art & Photography,Nghệ Thuật và Nhiếp Ảnh,16,true
romance,Romance,Lãng Mạn,17,true
technology-and-engineering,Technology & Engineering,Công Nghệ và Kỹ Thuật,18,true
religion,Religion,Tôn Giáo,19,true
poetry-and-drama,Poetry & Drama,Thơ và Kịch,20,true
food-and-drink,Food & Drink,Ẩm Thực và Đồ Uống,21,true
history-and-archaeology,History & Archaeology,Lịch Sử và Khảo Cổ,22,true
science-fiction-fantasy-and-horror,Science Fiction Fantasy & Horror,Khoa Học Viễn Tưởng Kỳ Ảo và Kinh Dị,23,true
home-and-garden,Home & Garden,Nhà Cửa và Vườn Tược,24,true
natural-history,Natural History,Lịch Sử Tự Nhiên,25,true
reference,Reference,Tham Khảo,26,true
medical,Medical,Y Học,27,true
stationery,Stationery,Văn Phòng Phẩm,28,true
entertainment,Entertainment,Giải Trí,29,true
crime-and-thriller,Crime & Thriller,Tội Phạm và Giật Gân,30,true
sport,Sport,Thể Thao,31,true
travel-and-holiday-guides,Travel & Holiday Guides,Du Lịch và Hướng Dẫn Nghỉ Dưỡng,32,true
humour,Humour,Hài Hước,33,true
